step,episode_return
200,2.0
200,2.0
200,2.0
200,2.0
200,2.0
200,2.0
200,2.0
200,2.0
200,2.0
200,2.0
200,2.0
200,2.0
200,2.0
200,2.0
200,2.0
200,2.0
200,2.0
200,2.0
200,2.0
200,2.0
200,2.0
300,3.0
300,3.0
300,3.0
300,3.0
300,3.0
300,3.0
300,3.0
300,3.0
300,3.0
300,3.0
300,3.0
300,3.0
300,3.0
300,3.0
300,3.0
300,3.0
300,3.0
400,4.0
400,4.0
400,4.0
400,4.0
400,4.0
400,4.0
400,4.0
400,4.0
400,4.0
400,4.0
400,4.0
400,4.0
400,4.0
400,4.0
400,4.0
400,4.0
400,4.0
500,5.0
500,5.0
500,5.0
500,5.0
500,5.0
500,5.0
500,5.0
500,5.0
500,5.0
500,5.0
500,5.0
600,6.0
600,2.0
600,6.0
600,2.0
600,6.0
600,6.0
600,6.0
700,7.0
700,7.0
700,7.0
700,7.0
700,7.0
700,3.0
700,3.0
700,7.0
700,7.0
700,3.0
700,2.0
700,7.0
700,2.0
700,7.0
700,2.0
700,3.0
700,7.0
700,3.0
800,8.0
800,8.0
800,3.0
800,3.0
800,8.0
800,8.0
800,4.0
800,4.0
800,2.0
800,3.0
800,8.0
800,4.0
900,9.0
900,3.0
900,4.0
900,5.0
900,5.0
900,4.0
900,9.0
900,2.0
900,5.0
900,3.0
900,2.0
900,3.0
900,4.0
900,3.0
900,2.0
900,5.0
900,4.0
1000,6.0
1000,2.0
1000,4.0
1000,6.0
1000,2.0
1000,3.0
1000,10.0
1000,4.0
1000,4.0
1000,4.0
1000,6.0
1000,3.0
1000,10.0
1100,4.0
1100,5.0
1100,5.0
1100,11.0
1100,11.0
1100,4.0
1100,2.0
1100,2.0
1100,3.0
1100,5.0
1100,4.0
1100,11.0
1100,7.0
1100,4.0
1100,6.0
1100,4.0
1100,2.0
1200,6.0
1200,12.0
1200,2.0
1200,3.0
1200,12.0
1200,5.0
1200,3.0
1200,3.0
1200,12.0
1200,3.0
1200,3.0
1200,4.0
1200,3.0
1200,3.0
1200,6.0
1200,2.0
1200,3.0
1300,13.0
1300,4.0
1300,2.0
1300,13.0
1300,4.0
1300,2.0
1300,7.0
1300,3.0
1300,2.0
1300,3.0
1300,2.0
1400,9.0
1400,6.0
1400,3.0
1400,4.0
1400,3.0
