epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3900,GPU (NVIDIA GeForce RTX 3080),0.31,12905.4,0.0,0.150,3.750,0.000,0.000,0.000,0.000,4.0,4.0
2,7900,GPU (NVIDIA GeForce RTX 3080),0.36,11253.8,0.0,0.146,3.657,0.000,0.000,0.000,0.000,13.1,26.0
3,11900,GPU (NVIDIA GeForce RTX 3080),0.86,4637.4,58.0,0.145,3.626,0.057,1.134,0.567,11.343,24.5,38.0
4,15900,GPU (NVIDIA GeForce RTX 3080),0.68,5876.0,73.4,0.143,3.581,0.049,0.988,0.389,7.786,24.5,38.0
5,19900,GPU (NVIDIA GeForce RTX 3080),0.24,16706.3,0.0,0.143,3.585,0.000,0.000,0.000,0.000,24.5,38.0
6,23900,GPU (NVIDIA GeForce RTX 3080),0.71,5644.0,70.5,0.144,3.597,0.046,0.924,0.422,8.440,24.5,38.0
7,27900,GPU (NVIDIA GeForce RTX 3080),0.74,5430.5,67.9,0.142,3.547,0.058,1.160,0.434,8.685,24.5,38.0
8,31900,GPU (NVIDIA GeForce RTX 3080),0.66,6093.8,76.2,0.141,3.532,0.048,0.954,0.374,7.485,24.5,38.0
9,35900,GPU (NVIDIA GeForce RTX 3080),0.72,5572.1,69.7,0.144,3.589,0.049,0.984,0.430,8.595,24.5,38.0
10,39900,GPU (NVIDIA GeForce RTX 3080),0.24,16821.3,0.0,0.139,3.487,0.000,0.000,0.000,0.000,24.5,38.0
11,43900,GPU (NVIDIA GeForce RTX 3080),0.70,5702.2,71.3,0.137,3.437,0.058,1.168,0.403,8.063,24.5,38.0
12,47900,GPU (NVIDIA GeForce RTX 3080),0.71,5605.1,70.1,0.138,3.456,0.060,1.210,0.419,8.374,24.5,38.0
13,51900,GPU (NVIDIA GeForce RTX 3080),0.71,5649.3,70.6,0.141,3.522,0.040,0.792,0.425,8.493,24.5,38.0
14,55900,GPU (NVIDIA GeForce RTX 3080),0.74,5371.4,67.1,0.151,3.764,0.050,1.005,0.442,8.839,24.5,38.0
15,59900,GPU (NVIDIA GeForce RTX 3080),0.25,16096.4,0.0,0.147,3.668,0.000,0.000,0.000,0.000,24.5,38.0
16,63900,GPU (NVIDIA GeForce RTX 3080),0.77,5208.9,65.1,0.148,3.708,0.070,1.391,0.422,8.433,24.5,38.0
17,67900,GPU (NVIDIA GeForce RTX 3080),0.76,5251.8,65.6,0.151,3.765,0.076,1.521,0.435,8.700,24.5,38.0
18,71900,GPU (NVIDIA GeForce RTX 3080),0.75,5354.5,66.9,0.149,3.729,0.053,1.054,0.430,8.600,24.5,38.0
19,75900,GPU (NVIDIA GeForce RTX 3080),0.76,5282.3,66.0,0.153,3.827,0.066,1.326,0.430,8.594,24.5,38.0
20,79900,GPU (NVIDIA GeForce RTX 3080),0.25,15890.4,0.0,0.153,3.837,0.000,0.000,0.000,0.000,24.5,38.0
21,83900,GPU (NVIDIA GeForce RTX 3080),0.68,5875.7,73.4,0.145,3.636,0.049,0.983,0.384,7.677,24.5,38.0
22,87900,GPU (NVIDIA GeForce RTX 3080),0.70,5685.8,71.1,0.145,3.626,0.078,1.563,0.386,7.713,24.5,38.0
23,91900,GPU (NVIDIA GeForce RTX 3080),0.73,5451.8,68.1,0.157,3.928,0.050,1.009,0.422,8.434,24.5,38.0
24,95900,GPU (NVIDIA GeForce RTX 3080),0.64,6205.8,77.6,0.144,3.607,0.050,1.008,0.361,7.211,24.5,38.0
25,99900,GPU (NVIDIA GeForce RTX 3080),0.24,16365.3,0.0,0.147,3.681,0.000,0.000,0.000,0.000,24.5,38.0
26,103900,GPU (NVIDIA GeForce RTX 3080),0.72,5540.5,69.3,0.149,3.715,0.053,1.055,0.423,8.457,24.5,38.0
27,107900,GPU (NVIDIA GeForce RTX 3080),0.73,5455.2,68.2,0.150,3.759,0.058,1.166,0.419,8.375,24.5,38.0
28,111900,GPU (NVIDIA GeForce RTX 3080),0.75,5341.2,66.8,0.148,3.700,0.068,1.360,0.430,8.593,24.5,38.0
29,115900,GPU (NVIDIA GeForce RTX 3080),0.74,5439.4,68.0,0.152,3.791,0.044,0.875,0.435,8.700,24.5,38.0
30,119900,GPU (NVIDIA GeForce RTX 3080),0.24,16968.4,0.0,0.144,3.601,0.000,0.000,0.000,0.000,24.5,38.0
31,123900,GPU (NVIDIA GeForce RTX 3080),0.72,5586.1,69.8,0.147,3.674,0.064,1.288,0.397,7.941,24.5,38.0
32,127900,GPU (NVIDIA GeForce RTX 3080),0.69,5830.7,72.9,0.141,3.537,0.042,0.842,0.404,8.089,24.5,38.0
33,131900,GPU (NVIDIA GeForce RTX 3080),0.74,5438.3,68.0,0.152,3.810,0.063,1.252,0.427,8.538,24.5,38.0
34,135900,GPU (NVIDIA GeForce RTX 3080),0.71,5656.6,70.7,0.146,3.646,0.057,1.144,0.409,8.170,24.5,38.0
35,139900,GPU (NVIDIA GeForce RTX 3080),0.25,15734.3,0.0,0.150,3.739,0.000,0.000,0.000,0.000,24.5,38.0
36,143900,GPU (NVIDIA GeForce RTX 3080),0.69,5774.1,72.2,0.151,3.781,0.063,1.259,0.388,7.756,24.5,38.0
37,147900,GPU (NVIDIA GeForce RTX 3080),0.70,5749.3,71.9,0.149,3.719,0.057,1.150,0.391,7.827,24.5,38.0
38,151900,GPU (NVIDIA GeForce RTX 3080),0.72,5554.6,69.4,0.158,3.942,0.068,1.356,0.401,8.028,24.5,38.0
39,155900,GPU (NVIDIA GeForce RTX 3080),0.73,5442.6,68.0,0.147,3.682,0.053,1.060,0.445,8.890,24.5,38.0
40,159900,GPU (NVIDIA GeForce RTX 3080),0.24,16956.1,0.0,0.146,3.651,0.000,0.000,0.000,0.000,24.5,38.0
41,163900,GPU (NVIDIA GeForce RTX 3080),0.66,6061.8,75.8,0.148,3.688,0.069,1.387,0.345,6.903,24.5,38.0
42,167900,GPU (NVIDIA GeForce RTX 3080),0.72,5529.2,69.1,0.149,3.721,0.062,1.233,0.413,8.258,24.5,38.0
43,171900,GPU (NVIDIA GeForce RTX 3080),0.71,5607.7,70.1,0.143,3.576,0.061,1.225,0.417,8.339,24.5,38.0
44,175900,GPU (NVIDIA GeForce RTX 3080),0.69,5838.8,73.0,0.144,3.596,0.075,1.494,0.376,7.512,24.5,38.0
45,179900,GPU (NVIDIA GeForce RTX 3080),0.23,17382.2,0.0,0.144,3.606,0.000,0.000,0.000,0.000,24.5,38.0
46,183900,GPU (NVIDIA GeForce RTX 3080),0.69,5760.2,72.0,0.146,3.650,0.059,1.176,0.398,7.952,24.5,38.0
